address,city,state,zipcode,property_type,square_footage,lot_size,num_rooms,num_bedrooms,num_baths,year_built,last_sale_amount,last_sale_date,estimated_value
1699 S Patton Ct,Denver,CO,80219,Single Family Residence,1145,8510.00,6,4,2.000,1955,248000,2016-03-14,271465
658 S Newton St,Denver,CO,80219,Single Family Residence,551,6000.00,4,1,1.000,1938,74500,2009-07-30,195125
1342 S Clay St,Denver,CO,80219,Single Family Residence,996,6060.00,4,2,1.000,1954,80000,2005-10-03,249826
2711 W Wesley Ave,Denver,CO,80219,Single Family Residence,5900,7180.00,29,19,9.000,1973,193900,1981-01-01,1146703
252 S Newton St,Denver,CO,80219,Single Family Residence,624,9370.00,5,2,1.000,1929,26000,1976-10-01,194772
6705 Richthofen Pkwy,Denver,CO,80220,Single Family Residence,1878,13000.00,6,2,3.000,1920,478500,2012-07-05,694008
1795 Trenton St,Denver,CO,80220,Single Family Residence,1065,6350.00,5,2,1.000,1927,194000,2012-08-13,335554
947 Glencoe St,Denver,CO,80220,Single Family Residence,909,6750.00,4,2,2.000,1947,79100,1994-05-20,416644
1777 Wabash St,Denver,CO,80220,Single Family Residence,1021,6250.00,5,3,1.000,1949,49000,1990-08-07,263124
1737 Monaco Pkwy,Denver,CO,80220,Single Family Residence,1522,6030.00,5,2,3.000,1929,533500,2007-03-24,715444
3097 S Dexter Way,Denver,CO,80222,Single Family Residence,892,10500.00,5,3,1.000,1951,99000,1996-02-20,343990
4224 E Dickenson Pl,Denver,CO,80222,Single Family Residence,2654,60088.00,8,5,3.000,1922,242000,2012-07-09,703356
1375 S Elm St,Denver,CO,80222,Single Family Residence,1728,6590.00,6,3,2.000,1955,505000,2014-01-27,654006
3320 S Glencoe St,Denver,CO,80222,Single Family Residence,1082,7790.00,6,3,1.000,1953,225000,2011-06-30,338683
4721 E Colorado Ave,Denver,CO,80222,Single Family Residence,860,6000.00,4,2,2.000,1954,238000,2006-09-14,356190
1413 S Navajo St,Denver,CO,80223,Single Family Residence,1058,6250.00,5,2,1.000,1957,85000,1995-05-04,259409
7292 E Wesley Ave,Denver,CO,80224,Single Family Residence,2198,13000.00,8,4,3.000,1972,334000,2015-03-20,476938
2315 S Olive St,Denver,CO,80224,Single Family Residence,1470,7300.00,7,2,3.000,1972,106000,1983-03-01,443535
1718 E 83rd Dr,Denver,CO,80229,Single Family Residence,1860,7000.00,6,4,2.000,1970,139900,2010-07-21,270714
8493 E Amherst Cir,Denver,CO,80231,Single Family Residence,2410,4704.00,0,4,3.000,1999,370000,2006-06-06,487226
8523 E Oregon Pl,Denver,CO,80231,Single Family Residence,2873,15246.00,0,3,5.000,1992,64500,1992-03-23,708436
2962 S Zenobia St,Denver,CO,80236,Single Family Residence,1147,7920.00,6,3,1.000,1956,70000,1992-02-01,318824
4822 S Xenia St,Denver,CO,80237,Single Family Residence,1864,9100.00,8,4,3.000,1972,275000,2007-06-22,407111
2552 N Xenia St,Denver,CO,80238,Single Family Residence,2029,4435.00,7,3,3.000,2004,367817,2005-01-11,575481
2811 Fulton St,Denver,CO,80238,Single Family Residence,2623,4846.00,9,4,3.000,2005,575000,2015-04-20,675942
4994 Wheeling St,Denver,CO,80239,Single Family Residence,1695,8320.00,7,3,2.000,1972,90000,2008-06-09,271481
15630 E 53rd Ave,Denver,CO,80239,Single Family Residence,1400,9069.00,6,3,3.000,2000,205500,2004-11-10,274361
5371 Chandler Way,Denver,CO,80239,Single Family Residence,1060,7150.00,5,3,2.000,1975,139900,2008-05-15,253223
784 S Flamingo Ct,Denver,CO,80246,Single Family Residence,2025,7790.00,5,2,2.000,1961,0,2000-05-15,473086
981 S Holly St,Denver,CO,80246,Single Family Residence,1177,6840.00,6,3,3.000,1957,87000,1984-07-01,419087
21350 E 44th Ave,Denver,CO,80249,Single Family Residence,1282,5397.00,6,3,3.000,1992,214000,2014-09-11,287340
4104 Orleans Ct,Denver,CO,80249,Single Family Residence,1646,4050.00,7,3,3.000,2000,134000,2009-05-18,281806
4041 Ensenada St,Denver,CO,80249,Single Family Residence,1521,4609.00,6,3,3.000,1993,245000,2015-07-20,281250
19694 Robins Dr,Denver,CO,80249,Single Family Residence,1520,4082.00,7,3,3.000,2006,179100,2006-05-17,269668
4591 Flanders Way,Denver,CO,80249,Single Family Residence,2059,8000.00,7,4,3.000,1993,175000,2007-10-30,311579
5557 Netherland St,Denver,CO,80249,Single Family Residence,1754,2957.00,7,3,3.000,2005,212500,2014-12-02,280918
2650 N Madison St,Denver,CO,80205,Single Family Residence,1740,6250.00,7,2,2.000,1952,0,1997-04-29,430238
4549 Alcott St,Denver,CO,80211,Single Family Residence,1649,6250.00,6,2,2.000,1907,61500,1992-06-01,599233
4891 S Xenia St,Denver,CO,80237,Single Family Residence,2025,8000.00,8,4,4.000,1972,312000,2006-11-27,484737
4080 Netherland St,Denver,CO,80249,Single Family Residence,1143,4050.00,5,2,3.000,1998,0,2009-10-22,257236
1665 Zenobia St,Denver,CO,80204,Single Family Residence,1671,7500.00,6,2,3.000,1950,0,2002-05-13,560490
2395 Ivanhoe St,Denver,CO,80207,Single Family Residence,775,6250.00,4,2,2.000,1951,52900,1981-11-01,433442
4162 Tennyson St,Denver,CO,80212,Single Family Residence,1371,2940.00,7,3,1.000,1900,54300,1995-03-27,747368
870 S Quitman St,Denver,CO,80219,Single Family Residence,955,10500.00,5,2,1.000,1953,17500,1979-05-01,237300
380 Elm St,Denver,CO,80220,Single Family Residence,1478,6250.00,7,3,3.000,1953,0,2010-06-01,744647
819 N Sherman St,Denver,CO,80203,Single Family Residence,2187,4639.00,8,4,2.000,1920,150000,1996-03-07,555576
974 Lowell Blvd,Denver,CO,80204,Single Family Residence,963,6230.00,4,2,2.000,1955,182500,2005-11-04,265577
1520 Irving St,Denver,CO,80204,Single Family Residence,1048,6500.00,6,3,1.000,1954,158000,2004-10-08,377643
2942 N Gaylord St,Denver,CO,80205,Single Family Residence,1542,6250.00,7,4,1.000,1906,0,2004-09-02,475157
2321 N Lafayette St,Denver,CO,80205,Single Family Residence,2024,3170.00,9,4,2.000,1904,265000,2008-10-15,581031
2350 N Williams St,Denver,CO,80205,Single Family Residence,1644,3440.00,8,4,1.000,1901,46372,1998-05-08,443644
943 Jackson St,Denver,CO,80206,Single Family Residence,985,5940.00,7,2,2.000,1922,388500,2012-12-14,564193
1634 Madison St,Denver,CO,80206,Single Family Residence,1560,5000.00,8,3,3.000,1910,620000,2014-05-20,819368
716 Monroe St,Denver,CO,80206,Single Family Residence,1600,5940.00,6,3,2.000,1925,630000,2016-07-11,817769
2340 Ash St,Denver,CO,80207,Single Family Residence,1907,5950.00,7,4,3.000,1905,495000,2008-01-16,845305
3555 Niagara St,Denver,CO,80207,Single Family Residence,1175,7500.00,6,3,2.000,1953,52000,1991-08-30,341255
836 S Clarkson St,Denver,CO,80209,Single Family Residence,1298,4750.00,5,2,1.000,1908,368000,2006-10-18,520219
1321 S Franklin St,Denver,CO,80210,Single Family Residence,1726,6240.00,7,3,3.000,1925,610000,2010-02-02,853685
3092 S Cook St,Denver,CO,80210,Single Family Residence,1972,10700.00,6,3,2.000,1955,435000,2007-03-06,624049
2195 S Emerson St,Denver,CO,80210,Single Family Residence,918,5000.00,5,2,2.000,1923,322000,2007-09-26,458491
4545 King St,Denver,CO,80211,Single Family Residence,1895,7600.00,6,2,4.000,1929,350000,2007-07-18,679543
3614 Mariposa St,Denver,CO,80211,Single Family Residence,2120,3120.00,7,2,3.000,2013,512000,2013-12-20,701053
4669 Quitman St,Denver,CO,80212,Single Family Residence,867,6250.00,4,2,3.000,1922,450000,2015-03-31,597520
4617 W 27th Ave,Denver,CO,80212,Single Family Residence,914,6780.00,4,2,2.000,1943,318750,2013-11-29,573019
4712 Broadway,Denver,CO,80216,Single Family Residence,714,4690.00,6,2,1.000,1932,183500,2014-12-16,224661
4522 Leaf Ct,Denver,CO,80216,Single Family Residence,676,4690.00,4,2,1.000,1908,160000,2015-07-02,203677
15 S Xavier St,Denver,CO,80219,Single Family Residence,781,6250.00,4,2,1.000,1954,129900,2010-02-02,231421
1375 S Clay St,Denver,CO,80219,Single Family Residence,853,6060.00,5,2,2.000,1954,120000,2009-01-30,278791
1080 S Patton Ct,Denver,CO,80219,Single Family Residence,724,6350.00,4,1,1.000,1946,62000,1996-05-01,212374
170 Utica St,Denver,CO,80219,Single Family Residence,836,6320.00,6,3,1.000,1955,84900,1996-10-03,263296
872 S Dale Ct,Denver,CO,80219,Single Family Residence,805,6250.00,5,2,1.000,1948,169000,2003-10-08,257283
1224 S Beach Ct,Denver,CO,80219,Single Family Residence,804,6060.00,4,2,2.000,1954,157500,2010-07-14,285071
4141 W Custer Pl,Denver,CO,80219,Single Family Residence,1185,3820.00,6,3,1.000,1929,47500,1981-05-01,233820
1170 Willow St,Denver,CO,80220,Single Family Residence,836,6250.00,5,2,1.000,1942,112775,2012-11-27,265148
147 Magnolia St,Denver,CO,80220,Single Family Residence,3287,6170.00,8,4,5.000,2008,848700,2014-08-28,1325616
1434 Willow St,Denver,CO,80220,Single Family Residence,1313,6250.00,6,4,2.000,1943,275000,2016-07-15,284914
420 W 71st Ave,Denver,CO,80221,Single Family Residence,850,9000.00,4,2,2.000,1959,127294,2012-08-24,274305
4855 Clay St,Denver,CO,80221,Single Family Residence,904,6250.00,4,2,1.000,1942,159500,2012-09-14,348223
2381 W 73rd Pl,Denver,CO,80221,Single Family Residence,1004,8250.00,5,3,2.000,1958,0,2010-09-03,261935
1423 Lipan Dr,Denver,CO,80221,Single Family Residence,850,6660.00,4,2,2.000,1958,275000,2016-05-17,270310
501 Cuchara St,Denver,CO,80221,Single Family Residence,984,6710.00,5,2,1.000,1955,97500,1998-03-13,230508
1262 Lipan Dr,Denver,CO,80221,Single Family Residence,850,6100.00,4,2,2.000,1958,64500,1986-08-07,247845
2000 W Center Ave,Denver,CO,80223,Single Family Residence,1041,7280.00,5,2,1.000,1951,125000,2013-06-11,253099
8660 Jolene Dr,Denver,CO,80229,Single Family Residence,1053,8400.00,5,3,1.000,1964,198000,2003-03-11,256464
7963 Logan St,Denver,CO,80229,Single Family Residence,1000,8120.00,6,4,2.000,1977,158005,2006-07-28,261598
2161 Mable Ave,Denver,CO,80229,Single Family Residence,925,7000.00,7,4,2.000,1972,170900,2002-01-31,241804
8101 E Dartmouth Ave # 83,Denver,CO,80231,Single Family Residence,2566,6500.00,8,3,3.000,1984,610000,2005-05-02,641494
4692 S Zenobia St,Denver,CO,80236,Single Family Residence,2164,8800.00,10,4,3.000,1977,282000,2012-08-15,379118
3664 S Oneida Way,Denver,CO,80237,Single Family Residence,2982,16600.00,9,4,3.000,1973,462000,2008-03-14,597974
2703 Dayton St,Denver,CO,80238,Single Family Residence,2049,4050.00,7,3,4.000,2005,462000,2012-03-29,760413
8272 E 29th Pl,Denver,CO,80238,Single Family Residence,1566,2432.00,6,3,3.000,2005,420000,2016-07-19,421773
3558 Akron Ct,Denver,CO,80238,Single Family Residence,2146,3690.00,7,3,3.000,2010,365000,2010-11-16,587559
4988 Granby St,Denver,CO,80239,Single Family Residence,1636,7776.00,7,3,3.000,1996,249000,2015-07-09,277771
4982 Xanadu St,Denver,CO,80239,Single Family Residence,2156,8720.00,8,4,3.000,1973,222000,2015-02-03,340943
4512 Anaheim Ct,Denver,CO,80239,Single Family Residence,1425,7900.00,6,3,3.000,1999,280000,2016-04-11,293212
5460 E Kentucky Ave,Denver,CO,80246,Single Family Residence,1255,7680.00,6,3,2.000,1959,361500,2015-06-04,421026
4086 Lisbon St,Denver,CO,80249,Single Family Residence,2303,4525.00,8,4,3.000,2001,237190,2002-01-02,325123
5561 Lisbon St,Denver,CO,80249,Single Family Residence,1731,4743.00,7,3,3.000,2011,178600,2011-04-06,293834
5512 Liverpool St,Denver,CO,80249,Single Family Residence,1905,5250.00,6,3,3.000,2008,380000,2016-08-19,354252
20333 E 46th Ave,Denver,CO,80249,Single Family Residence,2835,6400.00,9,4,3.000,2000,274900,2000-11-13,375965
4826 Jericho Ct,Denver,CO,80249,Single Family Residence,2774,7210.00,10,5,3.000,2002,275150,2002-11-20,347462
5105 Ceylon St,Denver,CO,80249,Single Family Residence,2070,4044.00,7,3,3.000,2004,198700,2005-02-07,295533
1263 S Milwaukee St,Denver,CO,80210,Single Family Residence,3287,6250.00,9,4,5.000,1997,842500,2005-07-12,1288143
6841 Eastmoor Dr,Denver,CO,80237,Single Family Residence,2381,10500.00,8,4,3.000,1972,444500,2016-05-03,610236
3877 Newton St,Denver,CO,80211,Single Family Residence,875,6340.00,4,2,1.000,1924,75000,1994-08-29,422148
623 E 47th Ave,Denver,CO,80216,Single Family Residence,814,3120.00,4,2,1.000,1920,23900,1987-11-06,202830
5041 Tamarac St,Denver,CO,80238,Single Family Residence,1569,5691.00,4,2,3.000,2013,588713,2014-06-12,693935
3747 W Walsh Pl,Denver,CO,80219,Single Family Residence,972,4690.00,4,2,1.000,1955,44500,1988-10-01,238728
245 S Elm St,Denver,CO,80246,Single Family Residence,2989,13800.00,6,3,3.000,1958,205000,1991-02-01,1408367
880 S Decatur St,Denver,CO,80219,Single Family Residence,989,6250.00,5,3,1.000,1947,74700,1982-10-01,273319
250 W 78th Pl,Denver,CO,80221,Single Family Residence,925,7000.00,5,2,2.000,1972,169000,2007-05-08,261499
8321 Nueva Vista Dr,Denver,CO,80229,Single Family Residence,1115,10800.00,5,3,2.000,1959,80000,2011-06-30,283038
151 Magnolia St,Denver,CO,80220,Single Family Residence,876,5140.00,4,2,1.000,1949,303000,2016-08-24,389529
1245 Jersey St,Denver,CO,80220,Single Family Residence,1065,6250.00,5,3,1.000,1951,302250,2013-05-22,413127
2256 Ash St,Denver,CO,80207,Single Family Residence,3151,5950.00,9,4,4.000,1937,0,2016-06-28,1269480
4143 N Raleigh St,Denver,CO,80212,Single Family Residence,2012,6340.00,6,2,2.000,1898,500000,2012-08-27,715927
1743 Ulster St,Denver,CO,80220,Single Family Residence,1045,6670.00,5,2,1.000,1941,175000,2004-11-08,271829
345 S Pennsylvania St,Denver,CO,80209,Single Family Residence,951,6230.00,5,2,1.000,1922,315000,2004-07-16,591914
1835 S Filbert Ct,Denver,CO,80222,Single Family Residence,899,6110.00,5,2,2.000,1954,76800,1998-03-02,377097
2835 W Bayaud Ave,Denver,CO,80219,Single Family Residence,936,6100.00,5,2,2.000,1951,125000,2012-11-26,251002
333 Knox Ct,Denver,CO,80219,Single Family Residence,1417,6250.00,9,3,4.000,1913,184500,2013-01-28,341777
6755 E Villanova Pl,Denver,CO,80224,Single Family Residence,1230,8250.00,6,3,3.000,1965,385000,2013-08-05,505242
1042 Spruce St,Denver,CO,80230,Single Family Residence,2231,5000.00,8,3,3.000,2004,465816,2005-06-07,608861
157 W Bayaud Ave,Denver,CO,80223,Single Family Residence,828,4837.00,5,2,2.000,1927,58300,1986-08-01,480899
8545 E 50th Dr,Denver,CO,80238,Single Family Residence,2951,5225.00,8,4,5.000,2013,850000,2016-07-06,940035
8598 E 50th Ave,Denver,CO,80238,Single Family Residence,2254,5598.00,6,3,3.000,2014,650000,2015-10-23,622885
456 N Ogden St,Denver,CO,80218,Single Family Residence,1320,3120.00,6,3,1.000,1906,24000,1995-06-22,561029
710 S Hudson St,Denver,CO,80246,Single Family Residence,1627,8170.00,6,3,2.000,1959,68000,1992-08-19,439882
7422 E Mansfield Ave,Denver,CO,80237,Single Family Residence,2201,8680.00,8,4,3.000,1973,132600,1989-12-22,499060
1799 S Kearney St,Denver,CO,80224,Single Family Residence,1076,9210.00,5,3,2.000,1958,163900,1999-12-09,443717
1625 Monaco Pkwy,Denver,CO,80220,Single Family Residence,2868,9050.00,7,3,3.000,1929,551000,2011-04-28,770726
1733 S Gilpin St,Denver,CO,80210,Single Family Residence,1234,4699.00,6,3,3.000,1928,417000,2013-09-24,548699
1368 Locust St,Denver,CO,80220,Single Family Residence,1231,5850.00,6,3,2.000,1949,80000,1987-06-30,434928
2350 S Knox Ct,Denver,CO,80219,Single Family Residence,710,6420.00,5,2,1.000,1951,146000,2002-09-18,239756
611 S Pennsylvania St,Denver,CO,80209,Single Family Residence,1485,4150.00,7,3,3.000,1907,470000,2011-09-29,735466
1688 S Clay St,Denver,CO,80219,Single Family Residence,969,5990.00,5,2,1.000,1957,160000,2002-11-05,257541
2903 Elmira St,Denver,CO,80238,Single Family Residence,2040,4500.00,7,3,4.000,2005,490325,2005-11-17,786699
1395 S Grape St,Denver,CO,80222,Single Family Residence,1077,6520.00,5,3,2.000,1953,146000,2000-03-09,390381
7361 E Archer Pl,Denver,CO,80230,Single Family Residence,2629,4125.00,9,3,3.000,1999,296600,1999-11-30,654048
3931 W Kenyon Ave,Denver,CO,80236,Single Family Residence,1528,3150.00,6,3,3.000,1998,176900,1999-06-08,305173
2590 S Clermont St,Denver,CO,80222,Single Family Residence,1355,7500.00,7,3,1.000,1953,257500,2010-04-22,394749
760 S Decatur St,Denver,CO,80219,Single Family Residence,799,7500.00,5,2,1.000,1947,270000,2015-10-12,283014
100 S Dale Ct,Denver,CO,80219,Single Family Residence,737,5250.00,5,2,1.000,1927,157000,2014-11-10,230096
2261 S Marion St,Denver,CO,80210,Single Family Residence,1258,4690.00,6,3,2.000,1940,399000,2014-08-26,501628
486 S Newport Way,Denver,CO,80224,Single Family Residence,1863,11400.00,5,3,3.000,1960,401000,2007-05-07,599996
613 Saint Paul St,Denver,CO,80206,Single Family Residence,1689,6250.00,8,2,3.000,1921,451000,2001-12-17,801855
3109 N Raleigh St,Denver,CO,80212,Single Family Residence,1440,3970.00,6,2,3.000,1900,415000,2012-12-13,663818
626 S Monroe Way,Denver,CO,80209,Single Family Residence,2244,11600.00,7,3,3.000,1954,472500,2003-01-14,1017968
25 Cherry St,Denver,CO,80220,Single Family Residence,3504,9209.00,9,4,4.000,1939,1675000,2006-10-17,1759790
3180 W Mexico Ave,Denver,CO,80219,Single Family Residence,1132,7130.00,5,3,2.000,1961,125000,2007-07-23,334249
15173 Lackland Pl,Denver,CO,80239,Single Family Residence,857,7450.00,4,2,2.000,1972,33800,1977-06-01,244319
2925 Quebec St,Denver,CO,80207,Single Family Residence,747,6250.00,4,2,1.000,1951,43000,1989-09-01,277400
1620 Kearney St,Denver,CO,80220,Single Family Residence,1167,6500.00,4,2,1.000,1951,216000,1999-06-29,597755
2201 S Acoma St,Denver,CO,80223,Single Family Residence,793,6250.00,4,2,1.000,1949,158000,2002-01-23,319972
1809 W 47th Ave,Denver,CO,80211,Single Family Residence,990,5870.00,5,2,1.000,1957,280000,2016-08-17,281380
5196 Lisbon St,Denver,CO,80249,Single Family Residence,3428,7452.00,9,5,5.000,2006,459700,2006-11-28,445727
1636 S Fairfax St,Denver,CO,80222,Single Family Residence,1182,7380.00,6,3,2.000,1956,0,1989-01-05,421338
4341 Chase St,Denver,CO,80212,Single Family Residence,700,6650.00,0,2,1.000,1946,225000,2015-07-08,281323
1333 Josephine St,Denver,CO,80206,Single Family Residence,3904,5937.00,8,4,4.000,1892,537300,2000-06-08,1020128
274 S Stuart St,Denver,CO,80219,Single Family Residence,836,7810.00,5,3,1.000,1954,37500,1992-07-01,230627
4444 W 30th Ave,Denver,CO,80212,Single Family Residence,1475,7090.00,6,2,2.000,1948,88500,1991-04-01,617897
793 S Ivy St,Denver,CO,80224,Single Family Residence,1142,7460.00,6,3,2.000,1957,82700,1989-07-03,364711
14943 Olmsted Dr,Denver,CO,80239,Single Family Residence,968,7000.00,5,3,1.000,1972,255725,2016-09-19,251492
490 S Alcott St,Denver,CO,80219,Single Family Residence,1249,6600.00,6,2,1.000,1928,65000,1981-10-01,271804
1148 S Cherokee St,Denver,CO,80223,Single Family Residence,1103,3125.00,4,2,1.000,1885,0,2005-04-18,274069
715 Hazel Ct,Denver,CO,80204,Single Family Residence,1022,5830.00,5,3,1.000,1957,38400,1995-03-15,229472
3267 Stuart St,Denver,CO,80212,Single Family Residence,1088,12700.00,5,2,1.000,1906,48000,1978-10-01,586399
5360 Highline Pl,Denver,CO,80222,Single Family Residence,1231,19200.00,5,3,2.000,1953,80300,1992-03-01,472355
331 S Sherman St,Denver,CO,80209,Single Family Residence,1587,4000.00,6,3,3.000,1907,70000,1979-08-01,693591
5266 Grove St,Denver,CO,80221,Single Family Residence,1040,6820.00,5,3,1.000,1982,62000,1992-12-08,193616
7830 Robin Ln,Denver,CO,80221,Single Family Residence,1660,8165.00,7,3,2.000,1955,180000,2013-05-21,274129
780 Downing Way,Denver,CO,80229,Single Family Residence,1591,11523.00,6,3,3.000,1978,211900,2004-08-11,308415
2281 Stacy Dr,Denver,CO,80221,Single Family Residence,825,7000.00,4,2,2.000,1959,210000,2015-12-16,272487
2381 W 59th Pl,Denver,CO,80221,Single Family Residence,1008,8201.00,5,3,1.000,1983,58900,1993-01-29,244342
3601 S King St,Denver,CO,80236,Single Family Residence,1294,11064.00,0,4,2.000,1925,210000,2015-03-06,254588
2761 S Lowell Blvd,Denver,CO,80236,Single Family Residence,1056,6400.00,5,2,1.000,1955,153470,2008-05-13,260392
3084 E Amherst Ave,Denver,CO,80210,Single Family Residence,2096,9980.00,9,3,5.000,1959,538692,2005-03-10,785196
3010 N Williams St,Denver,CO,80205,Single Family Residence,1249,3120.00,6,2,3.000,1895,319000,2013-05-03,484393
1170 Rosemary St,Denver,CO,80220,Single Family Residence,825,6250.00,4,2,2.000,1953,142000,2006-02-02,271259
693 S Pennsylvania St,Denver,CO,80209,Single Family Residence,1345,3890.00,7,3,1.000,1888,372500,2015-08-27,472986
1430 Blake St,Denver,CO,80202,Single Family Residence,0,3110.00,0,0,.000,0,295000,1999-07-07,982672
205 S Fairfax St,Denver,CO,80246,Single Family Residence,6028,13250.00,10,4,7.000,2005,2100000,2009-06-05,3886693
933 S Clayton Way,Denver,CO,80209,Single Family Residence,1215,5500.00,8,3,2.000,1942,765900,2016-06-06,896002
3891 S Quebec St,Denver,CO,80237,Single Family Residence,2224,7940.00,9,4,3.000,1970,368000,2013-07-31,542108
6634 E Vassar Ave,Denver,CO,80224,Single Family Residence,1152,8140.00,5,2,3.000,1965,274900,2005-05-21,432912
55 Bannock St,Denver,CO,80223,Single Family Residence,2400,5321.00,10,4,3.000,1882,460000,2008-11-10,706288
5223 Sable St,Denver,CO,80239,Single Family Residence,2185,7260.00,5,3,3.000,1987,99500,1995-09-21,287299
2405 W Cornell Ave,Denver,CO,80236,Single Family Residence,1283,9780.00,6,3,2.000,2003,180500,2012-12-05,392857
2660 W Warren Ave,Denver,CO,80219,Single Family Residence,1094,17700.00,5,2,1.000,1948,175000,2001-03-05,252621
411 N Marion St,Denver,CO,80218,Single Family Residence,2153,6250.00,6,1,4.000,1926,1045000,2016-05-20,1022734
2920 Emporia Ct,Denver,CO,80238,Single Family Residence,2159,4950.00,7,2,3.000,2005,500000,2015-12-28,596401
2980 S Newland St,Denver,CO,80227,Single Family Residence,1728,8470.00,7,4,2.000,1965,235000,2005-04-05,344055
720 S Jackson St,Denver,CO,80209,Single Family Residence,2632,12960.00,9,4,3.000,1951,205000,1991-04-01,1013707
18899 E 52nd Ave,Denver,CO,80249,Single Family Residence,1803,4902.00,6,3,3.000,2003,213090,2003-10-29,292886
5197 Granby St,Denver,CO,80239,Single Family Residence,1524,6314.00,6,3,3.000,2000,215000,2004-07-20,273891
2812 N Raleigh St,Denver,CO,80212,Single Family Residence,3367,6350.00,7,4,1.000,2014,333500,2013-12-12,878625
1237 Tamarac St,Denver,CO,80220,Single Family Residence,689,6500.00,4,2,1.000,1941,113500,2007-01-10,249436
250 Vine St,Denver,CO,80206,Single Family Residence,2474,10900.00,7,3,4.000,1936,1675000,2016-09-28,1756825
1535 S Yates St,Denver,CO,80219,Single Family Residence,1284,6790.00,6,3,2.000,1955,165000,2002-10-01,278651
2091 Eudora St,Denver,CO,80207,Single Family Residence,1574,6250.00,6,3,3.000,1915,679000,2014-10-10,746566
3844 W Hamilton Ave,Denver,CO,80236,Single Family Residence,2211,7691.00,7,3,3.000,1998,277000,2004-06-18,417629
1260 Gaylord St,Denver,CO,80206,Single Family Residence,2188,4687.00,10,3,2.000,1886,142500,1997-07-01,654833
3415 Lawrence St,Denver,CO,80205,Single Family Residence,1077,6170.00,6,3,1.000,1902,178000,2006-01-03,386047
695 S Jersey St,Denver,CO,80224,Single Family Residence,1148,8130.00,6,3,2.000,1957,200000,2009-06-26,426047
7501 E 21st Ave,Denver,CO,80207,Single Family Residence,999,7830.00,5,2,1.000,1950,260000,2015-08-03,301410
1111 Wabash St,Denver,CO,80220,Single Family Residence,1282,6500.00,6,3,2.000,1952,265000,2016-02-23,302079
2710 Zenobia St,Denver,CO,80212,Single Family Residence,1638,7710.00,6,3,2.000,1953,0,2016-06-03,488521
3225 S Saint Paul St,Denver,CO,80210,Single Family Residence,2162,9000.00,5,3,3.000,1957,580000,2013-10-08,775615
3550 W Wesley Ave,Denver,CO,80219,Single Family Residence,1093,7300.00,4,2,1.000,1951,227900,2015-10-01,249826
8895 E 28th Ave,Denver,CO,80238,Single Family Residence,2060,5060.00,7,3,4.000,2003,377492,2004-04-06,626216
3533 Quivas St,Denver,CO,80211,Single Family Residence,1275,4600.00,5,2,2.000,1906,230000,2003-01-02,544726
5552 Scranton St,Denver,CO,80239,Single Family Residence,1064,6400.00,5,3,3.000,1969,135000,1999-05-25,246731
5563 Dillon St,Denver,CO,80239,Single Family Residence,840,8000.00,4,2,2.000,1971,176000,2003-11-04,242075
3905 Zenobia St,Denver,CO,80212,Single Family Residence,3358,7498.00,7,5,4.000,1895,420000,2000-10-30,844448
4026 Adams St,Denver,CO,80216,Single Family Residence,681,5850.00,4,2,1.000,1891,38000,2009-06-22,202596
560 Saint Paul St,Denver,CO,80206,Single Family Residence,918,6250.00,5,2,1.000,1906,635000,2003-06-10,950288
4892 Jasper St,Denver,CO,80239,Single Family Residence,960,4600.00,4,2,1.000,2000,203000,2016-04-05,217690
4157 Andes Way,Denver,CO,80249,Single Family Residence,1413,4177.00,6,3,2.000,2003,158000,2009-10-19,276956
4685 Blackhawk Way,Denver,CO,80239,Single Family Residence,1542,8800.00,7,3,2.000,1979,94500,1996-04-04,263362
3745 N Cook St,Denver,CO,80205,Single Family Residence,833,6250.00,4,2,2.000,1928,170500,2009-12-30,341524
1200 Josephine St,Denver,CO,80206,Single Family Residence,1868,2810.00,10,4,3.000,1905,381500,2009-06-17,723105
3835 W Byron Pl,Denver,CO,80211,Single Family Residence,885,6250.00,5,2,2.000,1939,395000,2016-09-01,482542
2255 N Lafayette St,Denver,CO,80205,Single Family Residence,694,6310.00,4,2,1.000,1887,112000,2002-05-01,328673
5221 E Dartmouth Ave,Denver,CO,80222,Single Family Residence,853,8120.00,4,2,1.000,1951,135900,1999-05-21,308387
906 Forest St,Denver,CO,80220,Single Family Residence,2249,6120.00,8,3,4.000,1947,613000,2013-06-07,917334
13021 Randolph Pl,Denver,CO,80239,Single Family Residence,1002,6400.00,5,3,1.000,1969,57300,1984-02-01,231885
4385 E Eastman Ave,Denver,CO,80222,Single Family Residence,3367,8356.00,9,4,4.000,2002,0,2004-12-10,951332
9060 E 29th Ave,Denver,CO,80238,Single Family Residence,2848,4050.00,8,4,4.000,2003,493430,2003-11-25,686581
6881 Alan Dr,Denver,CO,80221,Single Family Residence,850,6200.00,4,2,2.000,1956,187500,2001-11-30,266280
5 S Wolff St,Denver,CO,80219,Single Family Residence,1560,6400.00,6,3,2.000,2009,203000,2014-06-03,288986
2709 S Marshall St,Denver,CO,80227,Single Family Residence,2077,10000.00,8,4,3.000,1967,111000,1986-04-01,380202
2284 S Josephine St,Denver,CO,80210,Single Family Residence,1966,8360.00,7,3,3.000,1920,0,1998-02-23,767966
